,synchronicity_centrality,synchronicity_density,synchronicity_group_size,synchronicity_score,metronome_centrality,metronome_density,metronome_group_size,metronome_score,shares_centrality,shares_density,shares_group_size,shares_score,misinfo_centrality,misinfo_density,misinfo_group_size,misinfo_score,viral_centrality,viral_density,viral_group_size,viral_score,content_uniqueness_centrality,content_uniqueness_density,content_uniqueness_group_size,content_uniqueness_score,network_diversity_centrality,network_diversity_density,network_diversity_group_size,network_diversity_score,content_originality_centrality,content_originality_density,content_originality_group_size,content_originality_score,Archetype_ID
d21466f9e05b15b2fd8d429bc43ce072,0.0,0.0,0,0.0,0.20188902007083825,0.14762471975185912,819,1.2492896230149966,0.047619047619047616,0.1025042163525922,662,1.7708520116421442,0.0326975476839237,1.0,13,0.8450980400142568,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.04201680672268908,0.05073736366148241,654,0.32608695652173914,0.0,0.0,0,0.0,2
1755b09535a4e3fce21231cc14c6a2e4,0.34191176470588236,1.0,94,0.6931471805599453,0.1936245572609209,0.14762471975185912,819,1.3471125139541982,0.12605042016806722,0.1025042163525922,662,2.739572344450092,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.010940919037199124,1.0,6,0.020761245674740483,0.07703081232492998,0.05073736366148241,654,0.21739130434782608,0.0,0.0,0,0.0,4
432a65c5a98e8c845ff3a6c60e9fdad0,0.0,0.0,0,0.0,0.26682408500590316,0.14762471975185912,819,1.422895077592155,0.10784313725490197,0.1025042163525922,662,2.1931245983544616,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.002188183807439825,1.0,2,0.09328358208955224,0.05182072829131653,0.05073736366148241,654,0.16216216216216217,0.014184397163120567,1.0,3,0.49019607843137253,3
284176a6c4724bfcc21e0bd37ebc80a4,0.0,0.0,0,0.0,0.06139315230224321,0.14762471975185912,819,1.7101807360213468,0.15266106442577032,0.1025042163525922,662,2.459392487759231,0.09809264305177111,0.11752508361204013,300,2.305351369446624,0.0,0.0,0,0.0,0.00437636761487965,1.0,3,0.06965174129353234,0.08263305322128851,0.05073736366148241,654,0.2345679012345679,0.0,0.0,0,0.0,1
584b05446c0afec7298ccd5c0a11fa0a,0.34191176470588236,1.0,94,0.6931471805599453,0.20306965761511214,0.14762471975185912,819,1.2731699618208216,0.03081232492997199,0.1025042163525922,662,4.103974669386388,0.051771117166212535,0.11752508361204013,300,1.2304489213782739,0.6666666666666666,1.0,9,4.082569964269923,0.015317286652078774,1.0,8,0.007898404831965309,0.0742296918767507,0.05073736366148241,654,0.20967741935483872,0.0,0.0,0,0.0,4
194cc79101e4803b1fb088aee1ee523b,0.0,0.0,0,0.0,0.20188902007083825,0.14762471975185912,819,1.299054340050257,0.12464985994397759,0.1025042163525922,662,2.346352974450639,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.046218487394957986,0.05073736366148241,654,0.1390728476821192,0.0,0.0,0,0.0,2
2538bce860243aa0f5d903967eb96120,0.0,0.0,0,0.0,0.1818181818181818,0.14762471975185912,819,1.2304442040999346,0.12184873949579832,0.1025042163525922,662,2.7505083948513462,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.015317286652078774,1.0,8,0.01056338028169014,0.04061624649859944,0.05073736366148241,654,0.27941176470588236,0.0,0.0,0,0.0,2
9c342f4dc9410f9203a56695f63f3c74,0.003676470588235294,0.5,4,44.75593342827221,0.1511216056670602,0.14762471975185912,819,1.4946870018010727,0.029411764705882353,0.1025042163525922,662,4.215584694181615,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.01312910284463895,1.0,7,0.005361476381285626,0.04201680672268908,0.05073736366148241,654,0.12352941176470589,0.0,0.0,0,0.0,2
49cd9f5938cc669ac5d04bbec2e2e3cc,0.0,0.0,0,0.0,0.20306965761511214,0.14762471975185912,819,1.274814765306404,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0
d917a2ecbb368e9a580900b7d84add77,0.0,0.0,0,0.0,0.20425029515938606,0.14762471975185912,819,1.2642354644952118,0.03361344537815126,0.1025042163525922,662,1.6812412373755872,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.05042016806722689,0.05073736366148241,654,0.2692307692307692,0.0,0.0,0,0.0,2
